,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
137,-122.19,365900.0,264.0,32.0,1835.0,3,263.0,635.0,8.317,37.82
138,-122.2,366700.0,181.0,37.0,1229.0,3,176.0,420.0,70.175,37.82
139,-122.2,362800.0,534.0,39.0,3770.0,3,500.0,1265.0,63.302,37.82
140,-122.18,483300.0,38.0,30.0,292.0,3,52.0,126.0,63.623999999999995,37.81
141,-122.21,331400.0,333.0,52.0,2375.0,3,350.0,813.0,70.54899999999999,37.82
142,-122.2,323500.0,436.0,45.0,2964.0,3,426.0,1067.0,67.851,37.81
143,-122.21,216700.0,605.0,50.0,2833.0,3,552.0,1260.0,28.929000000000002,37.8
144,-122.21,233100.0,535.0,38.0,2254.0,3,487.0,951.0,30.811999999999998,37.8
145,-122.21,296400.0,212.0,52.0,1389.0,3,224.0,510.0,52.402,37.81
146,-122.22,273700.0,335.0,52.0,1971.0,3,308.0,765.0,65.217,37.81
147,-122.22,227700.0,465.0,52.0,2183.0,3,460.0,1129.0,32.632,37.8
148,-122.22,199600.0,464.0,52.0,2286.0,3,441.0,1073.0,30.298000000000002,37.8
149,-122.22,239800.0,541.0,52.0,2721.0,3,515.0,1185.0,45.428000000000004,37.8
150,-122.22,270100.0,339.0,52.0,2024.0,3,340.0,756.0,4.072,37.81
151,-122.22,302100.0,536.0,52.0,2944.0,3,521.0,1034.0,53.50899999999999,37.81
152,-122.23,269500.0,486.0,52.0,2033.0,3,459.0,787.0,31.603,37.8
153,-122.23,314700.0,229.0,52.0,1433.0,3,213.0,612.0,47.708,37.81
154,-122.22,390100.0,402.0,52.0,2927.0,3,380.0,1021.0,81.564,37.81
155,-122.23,410300.0,292.0,52.0,2315.0,3,258.0,861.0,88.79299999999999,37.81
156,-122.24,352400.0,313.0,52.0,2485.0,3,327.0,953.0,68.59100000000001,37.81
157,-122.24,287300.0,238.0,52.0,1490.0,3,256.0,634.0,60.302,37.81
158,-122.23,348700.0,365.0,52.0,2814.0,3,352.0,878.0,7.507999999999999,37.81
159,-122.24,243800.0,550.0,52.0,2093.0,3,483.0,918.0,27.476999999999997,37.81
160,-122.24,211500.0,168.0,52.0,888.0,3,175.0,360.0,21.944000000000003,37.8
161,-122.25,218400.0,510.0,52.0,2087.0,3,488.0,1197.0,30.149,37.8
162,-122.24,269900.0,502.0,52.0,2513.0,3,518.0,1048.0,3.675,37.81
163,-122.25,218800.0,835.0,46.0,3232.0,3,747.0,1373.0,3.225,37.81
164,-122.25,225000.0,1065.0,42.0,4120.0,3,1015.0,1715.0,29.345,37.8
165,-122.25,250000.0,792.0,43.0,2364.0,3,722.0,1359.0,21.429000000000002,37.8
166,-122.25,171400.0,469.0,41.0,1471.0,3,413.0,1062.0,16.121,37.8
167,-122.25,193800.0,864.0,29.0,2468.0,3,773.0,1335.0,13.929,37.8
168,-122.24,125000.0,492.0,27.0,1632.0,3,429.0,1171.0,23.173000000000002,37.79
169,-122.25,97500.0,526.0,45.0,1786.0,3,460.0,1475.0,17.772000000000002,37.79
170,-122.25,125000.0,188.0,50.0,629.0,3,196.0,742.0,26.458000000000002,37.79
171,-122.25,138800.0,391.0,52.0,1339.0,3,363.0,1086.0,2.181,37.79
172,-122.25,116700.0,606.0,36.0,1678.0,3,543.0,1645.0,22.303,37.8
173,-122.25,151800.0,647.0,43.0,2344.0,3,644.0,1710.0,16.504,37.8
174,-122.24,127000.0,228.0,52.0,996.0,3,228.0,731.0,22.697,37.8
175,-122.24,128600.0,373.0,52.0,1591.0,3,347.0,1118.0,21.563000000000002,37.8
176,-122.24,140600.0,398.0,52.0,1586.0,3,335.0,1006.0,21.348000000000003,37.8
177,-122.24,182700.0,588.0,47.0,2046.0,3,554.0,1213.0,26.291999999999998,37.8
178,-122.23,146900.0,289.0,52.0,1192.0,3,257.0,772.0,23.833000000000002,37.8
179,-122.24,122800.0,420.0,52.0,1803.0,3,401.0,1321.0,2.957,37.8
180,-122.24,169300.0,749.0,49.0,2838.0,3,677.0,1487.0,25.238000000000003,37.8
181,-122.23,126600.0,184.0,52.0,783.0,3,186.0,488.0,19.375,37.8
182,-122.23,127900.0,414.0,51.0,1590.0,3,392.0,949.0,19.028,37.8
183,-122.23,123500.0,480.0,50.0,1746.0,3,415.0,1149.0,2.25,37.8
184,-122.23,111900.0,299.0,52.0,1252.0,3,280.0,844.0,23.929000000000002,37.8
185,-122.23,112800.0,1344.0,43.0,5963.0,3,1231.0,4367.0,21.916999999999998,37.79
186,-122.23,107900.0,395.0,52.0,1783.0,3,412.0,1659.0,29.357,37.79
187,-122.23,137500.0,264.0,30.0,999.0,3,263.0,1011.0,18.854,37.79
188,-122.24,105500.0,431.0,39.0,1469.0,3,389.0,1464.0,21.638,37.79
189,-122.24,95500.0,395.0,47.0,1372.0,3,303.0,1237.0,2.125,37.79
190,-122.24,116100.0,180.0,52.0,674.0,3,168.0,647.0,3.375,37.79
191,-122.24,112200.0,376.0,43.0,1626.0,3,357.0,1284.0,22.541999999999998,37.79
192,-122.25,75000.0,43.0,51.0,175.0,3,55.0,228.0,2.1,37.79
193,-122.25,112500.0,129.0,39.0,461.0,3,123.0,381.0,1.6,37.79
194,-122.25,125000.0,237.0,52.0,902.0,3,227.0,846.0,3.625,37.79
195,-122.26,115000.0,779.0,20.0,2373.0,3,676.0,1659.0,16.929000000000002,37.8
196,-122.22,95000.0,128.0,52.0,391.0,3,138.0,520.0,16.471,37.77
197,-122.22,96400.0,301.0,52.0,1137.0,3,259.0,866.0,2.59,37.77
198,-122.23,72000.0,206.0,52.0,769.0,3,183.0,612.0,2.57,37.77
199,-122.23,71300.0,146.0,52.0,472.0,3,126.0,415.0,26.429000000000002,37.78
200,-122.23,80800.0,215.0,52.0,862.0,3,213.0,994.0,30.256999999999998,37.78
201,-122.22,128800.0,530.0,50.0,1920.0,3,477.0,1525.0,14.886,37.78
202,-122.23,112500.0,472.0,43.0,1420.0,3,438.0,1506.0,19.338,37.78
203,-122.23,119400.0,258.0,52.0,986.0,3,255.0,1008.0,14.844000000000001,37.78
204,-122.23,118100.0,825.0,44.0,2340.0,3,751.0,2813.0,16.009,37.78
205,-122.23,122500.0,396.0,48.0,1696.0,3,343.0,1481.0,20.375,37.79
206,-122.23,106300.0,217.0,49.0,1175.0,3,219.0,859.0,2.293,37.79
207,-122.22,132500.0,574.0,37.0,2343.0,3,523.0,1608.0,21.494,37.79
208,-122.23,122700.0,145.0,30.0,610.0,3,140.0,425.0,16.198,37.79
209,-122.23,113300.0,199.0,40.0,930.0,3,184.0,564.0,13.280999999999999,37.79
210,-122.22,109500.0,314.0,44.0,1487.0,3,272.0,961.0,35.156,37.79
211,-122.22,164700.0,690.0,52.0,3424.0,3,685.0,2273.0,39.048,37.79
212,-122.21,125000.0,190.0,52.0,762.0,3,195.0,600.0,30.893,37.79
213,-122.22,124700.0,575.0,46.0,2366.0,3,527.0,1647.0,26.041999999999998,37.79
214,-122.22,136700.0,450.0,49.0,1826.0,3,424.0,1201.0,2.5,37.79
215,-122.22,141700.0,711.0,38.0,3049.0,3,659.0,2167.0,27.969,37.79
216,-122.2,150000.0,376.0,29.0,1640.0,3,340.0,939.0,28.320999999999998,37.79
217,-122.21,138800.0,307.0,47.0,1543.0,3,292.0,859.0,29.583000000000002,37.79
218,-122.21,139200.0,557.0,34.0,2364.0,3,516.0,1517.0,28.365,37.79
219,-122.21,143800.0,409.0,35.0,1745.0,3,386.0,1143.0,2.875,37.79
220,-122.21,156500.0,500.0,39.0,2003.0,3,464.0,1109.0,30.682,37.8
221,-122.21,151000.0,447.0,39.0,2018.0,3,446.0,1221.0,30.756999999999998,37.8
222,-122.2,273000.0,499.0,43.0,3045.0,3,455.0,1115.0,49.559,37.8
223,-122.2,217100.0,293.0,52.0,1547.0,3,268.0,706.0,47.721000000000004,37.8
224,-122.21,187100.0,711.0,52.0,3519.0,3,706.0,1883.0,34.861,37.8
225,-122.2,239600.0,354.0,41.0,2070.0,3,340.0,804.0,51.184,37.8
226,-122.21,229700.0,263.0,48.0,1321.0,3,252.0,506.0,40.977,37.8
227,-122.19,257300.0,259.0,48.0,1694.0,3,238.0,610.0,4.744,37.8
228,-122.19,246900.0,341.0,46.0,1938.0,3,332.0,768.0,42.727,37.8
229,-122.19,179900.0,195.0,50.0,968.0,3,184.0,462.0,29.844,37.79
230,-122.2,169600.0,256.0,40.0,1060.0,3,235.0,667.0,41.739,37.79
231,-122.2,203300.0,405.0,46.0,2041.0,3,399.0,1059.0,38.486999999999995,37.8
232,-122.19,263400.0,271.0,52.0,1813.0,3,277.0,637.0,40.114000000000004,37.8
233,-122.19,231800.0,451.0,45.0,2718.0,3,454.0,1106.0,46.563,37.79
234,-122.19,140500.0,761.0,28.0,3144.0,3,669.0,1737.0,29.296999999999997,37.79
235,-122.2,126000.0,459.0,35.0,1802.0,3,390.0,1009.0,23.035999999999998,37.79
236,-122.2,122000.0,195.0,49.0,882.0,3,210.0,737.0,26.666999999999998,37.79
237,-122.2,134700.0,452.0,44.0,1621.0,3,491.0,1354.0,2.6189999999999998,37.79
238,-122.21,139400.0,533.0,45.0,2115.0,3,474.0,1530.0,24.166999999999998,37.79
239,-122.2,115400.0,528.0,45.0,2021.0,3,480.0,1410.0,27.788,37.79
240,-122.21,137300.0,508.0,46.0,2239.0,3,569.0,1390.0,27.351999999999997,37.78
241,-122.21,137000.0,300.0,52.0,1477.0,3,269.0,1065.0,18.472,37.78
242,-122.21,142600.0,224.0,52.0,1056.0,3,245.0,792.0,26.583000000000002,37.78
243,-122.21,137500.0,244.0,49.0,898.0,3,245.0,779.0,30.535999999999998,37.78
244,-122.22,111700.0,710.0,44.0,2968.0,3,610.0,2269.0,23.906,37.78
245,-122.21,126800.0,460.0,43.0,1702.0,3,407.0,1227.0,17.188,37.78
246,-122.21,111300.0,248.0,47.0,881.0,3,241.0,753.0,2.625,37.78
247,-122.22,114800.0,114.0,40.0,494.0,3,135.0,547.0,28.015,37.77
248,-122.22,102300.0,473.0,50.0,1776.0,3,440.0,1807.0,17.276,37.78
249,-122.22,131900.0,514.0,44.0,1678.0,3,495.0,1700.0,20.801,37.78
250,-122.22,119100.0,463.0,51.0,1637.0,3,393.0,1543.0,2.489,37.78
251,-122.21,80600.0,314.0,52.0,1420.0,3,300.0,1085.0,17.546,37.76
252,-122.21,80600.0,173.0,52.0,591.0,3,137.0,353.0,40.904,37.77
253,-122.21,88800.0,153.0,52.0,745.0,3,149.0,473.0,26.765,37.77
254,-122.2,102400.0,498.0,49.0,2272.0,3,483.0,1621.0,24.338,37.77
255,-122.21,98700.0,375.0,46.0,1234.0,3,354.0,1183.0,23.309,37.77
256,-122.21,100000.0,328.0,43.0,1017.0,3,277.0,836.0,22.604,37.77
257,-122.19,92300.0,254.0,42.0,932.0,3,263.0,900.0,18.039,37.77
258,-122.2,94800.0,597.0,39.0,2689.0,3,537.0,1888.0,22.561999999999998,37.77
259,-122.2,102000.0,415.0,41.0,1547.0,3,341.0,1024.0,20.561999999999998,37.77
260,-122.2,158400.0,443.0,52.0,2300.0,3,423.0,1225.0,35.398,37.78
261,-122.2,121600.0,399.0,39.0,1752.0,3,376.0,1071.0,31.166999999999998,37.78
262,-122.2,129100.0,403.0,50.0,1867.0,3,378.0,1128.0,25.401,37.78
263,-122.2,121400.0,502.0,43.0,2430.0,3,484.0,1537.0,2.898,37.77
264,-122.21,102800.0,414.0,44.0,1729.0,3,393.0,1240.0,23.125,37.78
265,-122.19,160000.0,180.0,52.0,1026.0,3,168.0,469.0,2.875,37.78
266,-122.19,143900.0,428.0,52.0,2170.0,3,425.0,1086.0,33.715,37.77
267,-122.19,151200.0,445.0,52.0,2329.0,3,417.0,1144.0,35.114000000000004,37.77
268,-122.19,164400.0,415.0,52.0,2492.0,3,375.0,1109.0,43.125,37.78
269,-122.19,156500.0,397.0,52.0,2198.0,3,369.0,984.0,3.22,37.78
270,-122.18,225000.0,31.0,33.0,142.0,3,47.0,575.0,3.875,37.78
271,-122.19,174200.0,205.0,49.0,1183.0,3,209.0,496.0,52.328,37.78
272,-122.19,166900.0,193.0,52.0,1070.0,3,190.0,555.0,37.262,37.78
273,-122.2,163500.0,332.0,45.0,1766.0,3,327.0,869.0,45.893,37.78
274,-122.18,253000.0,95.0,39.0,617.0,3,106.0,236.0,52.578,37.79
275,-122.18,240700.0,233.0,41.0,1411.0,3,214.0,626.0,70.875,37.79
276,-122.18,208100.0,387.0,46.0,2109.0,3,329.0,922.0,39.711999999999996,37.79
277,-122.19,198100.0,243.0,47.0,1229.0,3,256.0,582.0,29.514,37.79
278,-122.19,172800.0,217.0,50.0,954.0,3,201.0,546.0,26.666999999999998,37.79
279,-122.18,336700.0,262.0,37.0,1643.0,3,266.0,620.0,54.446000000000005,37.81
280,-122.18,318200.0,195.0,34.0,1355.0,3,195.0,442.0,62.838,37.8
281,-122.18,285800.0,336.0,23.0,2317.0,3,328.0,955.0,67.527,37.8
282,-122.13,293000.0,317.0,24.0,2459.0,3,324.0,916.0,70.712,37.77
283,-122.16,371000.0,2048.0,22.0,12842.0,3,1967.0,4985.0,59.849,37.79
284,-122.17,157300.0,260.0,42.0,1524.0,3,267.0,651.0,36.875,37.78
285,-122.17,135300.0,746.0,30.0,3326.0,3,703.0,1704.0,2.875,37.77
286,-122.18,136700.0,440.0,43.0,1985.0,3,407.0,1085.0,34.205,37.78
287,-122.18,160700.0,322.0,50.0,1642.0,3,284.0,713.0,32.984,37.78
288,-122.17,140600.0,177.0,49.0,893.0,3,181.0,468.0,3.875,37.78
289,-122.17,144000.0,128.0,52.0,653.0,3,121.0,296.0,4.175,37.78
290,-122.16,161900.0,538.0,47.0,1256.0,3,218.0,570.0,4.375,37.77
291,-122.16,156300.0,194.0,48.0,977.0,3,180.0,446.0,47.708,37.77
292,-122.16,176000.0,397.0,45.0,2324.0,3,384.0,968.0,35.739000000000004,37.77
293,-122.16,145800.0,349.0,39.0,1583.0,3,316.0,857.0,30.958000000000002,37.77
294,-122.17,141900.0,342.0,39.0,1612.0,3,322.0,912.0,33.958,37.77
295,-122.17,90700.0,533.0,31.0,2424.0,3,452.0,1360.0,1.871,37.77
296,-122.17,90600.0,367.0,41.0,1594.0,3,355.0,1074.0,19.355999999999998,37.76
297,-122.17,107900.0,413.0,47.0,2118.0,3,382.0,965.0,21.842,37.76
298,-122.18,107000.0,358.0,37.0,1575.0,3,320.0,933.0,22.916999999999998,37.76
299,-122.17,98200.0,397.0,38.0,1764.0,3,354.0,987.0,24.333000000000002,37.76
300,-122.18,89500.0,261.0,50.0,1187.0,3,246.0,907.0,19.479,37.76
301,-122.18,93800.0,175.0,52.0,754.0,3,165.0,447.0,39.063,37.76
302,-122.18,96700.0,452.0,49.0,2308.0,3,451.0,1299.0,18.407,37.76
303,-122.18,97500.0,236.0,27.0,909.0,3,157.0,396.0,20.785999999999998,37.77
304,-122.18,97300.0,257.0,42.0,1180.0,3,268.0,877.0,28.125,37.77
305,-122.18,91200.0,408.0,43.0,2018.0,3,367.0,1111.0,18.913,37.76
306,-122.19,91400.0,282.0,49.0,1368.0,3,269.0,790.0,17.055999999999997,37.76
307,-122.18,96200.0,547.0,52.0,2744.0,3,554.0,1479.0,22.768,37.77
308,-122.18,120100.0,471.0,51.0,2107.0,3,438.0,1173.0,32.552,37.77
309,-122.18,100000.0,362.0,52.0,1748.0,3,366.0,1029.0,20.555999999999997,37.77
310,-122.19,94700.0,391.0,52.0,2024.0,3,350.0,1030.0,24.659000000000002,37.76
311,-122.2,85700.0,259.0,47.0,1116.0,3,279.0,826.0,1.75,37.76
312,-122.19,89300.0,510.0,41.0,2036.0,3,454.0,1412.0,20.469,37.77
