"X","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","dbscan","kmeans","som"
57,-122.28,85300,335,52,1489,3,244,728,0.8172,37.82,1,1,1
58,-122.28,80300,341,52,1387,3,304,1074,12.171,37.82,1,1,1
59,-122.29,60000,43,2,158,3,57,94,25.625,37.82,0,1,1
60,-122.29,75700,211,52,1121,3,187,554,33.929,37.83,1,1,1
61,-122.29,75000,29,49,135,3,23,86,61.183,37.82,0,1,1
62,-122.29,86100,190,50,760,3,122,377,0.9011,37.81,1,1,1
63,-122.3,76100,237,52,1224,3,159,521,1.191,37.81,1,1,1
64,-122.3,73500,182,48,828,3,133,392,25.938,37.81,1,1,1
65,-122.3,78400,209,52,1010,3,187,604,11.667,37.81,1,1,1
66,-122.3,84400,354,48,1455,3,332,788,0.8056,37.81,1,1,1
67,-122.29,81300,244,52,1027,3,147,492,26.094,37.8,1,1,1
68,-122.3,85000,109,52,572,3,82,274,18.516,37.81,1,1,1
69,-122.29,129200,644,46,2801,3,611,1823,0.9802,37.81,1,1,1
70,-122.29,82500,152,26,768,3,127,392,17.719,37.81,1,1,1
71,-122.29,95200,297,46,935,3,277,582,0.7286,37.81,1,1,1
72,-122.29,75000,204,49,844,3,152,560,1.75,37.81,1,1,1
73,-122.29,67500,4,46,12,3,7,18,0.4999,37.81,1,1,1
74,-122.29,137500,161,20,835,3,133,290,2.483,37.81,1,1,1
75,-122.28,177500,462,17,1237,3,439,762,0.9241,37.81,1,1,1
76,-122.28,102100,562,36,2914,3,509,1236,24.464,37.81,1,1,1
77,-122.28,108300,243,19,1207,3,207,721,11.111,37.81,1,1,1
78,-122.29,112500,374,23,1745,3,325,1054,0.8026,37.81,1,1,1
79,-122.28,131300,176,38,684,3,155,344,20.114,37.8,1,1,1
80,-122.28,162500,289,17,924,3,289,609,1.5,37.81,1,1,1
81,-122.27,112500,56,52,210,3,56,183,11.667,37.81,1,1,1
82,-122.28,112500,97,52,340,3,87,200,15.208,37.81,1,1,1
83,-122.28,137500,164,52,386,3,155,346,0.8075,37.81,1,1,1
84,-122.28,118800,184,35,948,3,169,467,18.088,37.81,1,1,1
85,-122.28,98200,143,52,773,3,115,377,24.083,37.81,1,1,1
86,-122.27,118800,451,40,880,3,380,582,0.977,37.81,1,1,1
87,-122.27,162500,348,10,875,3,330,546,0.76,37.81,1,1,1
88,-122.27,137500,42,10,105,3,39,125,0.9722,37.8,1,1,1
89,-122.27,500001,78,52,249,3,85,396,12.434,37.8,1,1,1
90,-122.27,162500,392,16,994,3,362,800,20.938,37.8,1,1,1
91,-122.28,137500,87,52,215,3,88,904,0.8668,37.8,1,1,1
92,-122.28,162500,31,52,96,3,34,191,0.75,37.8,1,1,1
93,-122.27,187500,347,27,1055,3,302,718,26.354,37.79,1,1,1
94,-122.27,179200,623,39,1715,3,467,1327,18.477,37.8,1,1,1
95,-122.26,130000,2477,36,5329,3,2323,3469,20.096,37.8,0,2,3
96,-122.26,183800,1331,31,4596,3,1180,2048,28.345,37.82,1,2,1
97,-122.26,125000,107,29,335,3,91,202,20.062,37.81,1,1,1
98,-122.26,170000,1270,22,3682,3,1250,2024,12.185,37.82,0,2,1
99,-122.26,193100,1085,37,3633,3,980,1838,26.104,37.82,1,1,1
100,-122.25,257800,1414,29,4656,3,1250,2304,24.912,37.81,0,2,2
101,-122.25,273400,1603,28,5806,3,1497,2563,32.177,37.81,0,2,2
102,-122.25,237500,242,39,854,3,228,389,3.125,37.81,1,1,1
103,-122.25,350000,701,52,2155,3,613,895,25.795,37.81,1,1,1
104,-122.26,335700,1914,34,5871,3,1789,2689,28.406,37.81,0,2,2
105,-122.24,313400,225,52,1509,3,244,674,49.306,37.82,1,1,1
106,-122.24,268500,482,52,2026,3,456,709,32.727,37.81,1,1,1
107,-122.25,259400,460,52,1758,3,422,686,31.691,37.81,1,1,1
108,-122.24,275700,751,52,3481,3,718,1444,3.9,37.82,1,1,1
109,-122.25,225000,855,28,3337,3,802,1520,39.063,37.82,1,1,1
110,-122.25,262500,289,52,1424,3,253,550,50.917,37.82,1,1,1
111,-122.25,218500,1098,32,3809,3,1022,1806,26.429,37.82,1,1,1
112,-122.25,255000,1196,26,3959,3,1217,1749,30.233,37.82,1,2,1
113,-122.25,224100,559,52,2376,3,519,939,31.484,37.83,1,1,1
114,-122.25,243100,428,35,1613,3,422,675,34.722,37.83,1,1,1
115,-122.25,231600,287,52,1279,3,291,534,31.429,37.83,1,1,1
116,-122.25,218500,1750,28,5022,3,1661,2558,24.234,37.83,0,2,2
117,-122.25,234100,1105,52,4190,3,1037,1786,30.897,37.83,1,1,1
118,-122.23,327600,399,50,2515,3,373,970,58.596,37.84,1,1,1
119,-122.23,347600,454,47,3175,3,485,1098,52.868,37.84,1,1,1
120,-122.24,366100,406,41,2576,3,376,794,5.956,37.83,1,1,1
121,-122.24,335000,54,37,334,3,47,98,49.643,37.85,1,1,1
122,-122.23,373600,411,52,2800,3,403,1061,63.434,37.85,1,3,1
123,-122.24,389500,574,52,3529,3,555,1177,51.773,37.84,1,3,1
124,-122.24,391100,365,52,2612,3,367,901,72.354,37.85,1,3,1
125,-122.22,337300,1048,28,5287,3,956,2031,5.457,37.85,0,2,1
126,-122.22,295200,473,50,2935,3,479,1031,7.5,37.84,1,1,1
127,-122.21,292300,597,44,3424,3,597,1358,60.194,37.84,1,1,1
128,-122.21,411500,674,40,4991,3,654,1616,75.544,37.83,1,3,1
129,-122.2,311500,346,30,2211,3,343,844,60.666,37.84,1,1,1
130,-122.21,325900,490,34,3038,3,496,1140,70.548,37.84,1,3,1
131,-122.19,392600,210,18,1617,3,194,533,116.017,37.84,0,3,1
132,-122.2,319300,460,35,2865,3,443,1072,74.882,37.84,1,3,1
133,-122.21,333300,788,34,5065,3,766,1627,68.976,37.83,1,3,1
134,-122.19,335200,184,28,1326,3,190,463,82.049,37.83,1,3,1
135,-122.2,351200,223,26,1589,3,211,542,8.401,37.83,1,1,1
136,-122.19,368900,271,29,1791,3,269,661,68.538,37.83,1,3,1
137,-122.19,365900,264,32,1835,3,263,635,8.317,37.82,1,1,1
138,-122.2,366700,181,37,1229,3,176,420,70.175,37.82,1,3,1
139,-122.2,362800,534,39,3770,3,500,1265,63.302,37.82,1,3,1
140,-122.18,483300,38,30,292,3,52,126,63.624,37.81,1,3,1
141,-122.21,331400,333,52,2375,3,350,813,70.549,37.82,1,3,1
142,-122.2,323500,436,45,2964,3,426,1067,67.851,37.81,1,3,1
143,-122.21,216700,605,50,2833,3,552,1260,28.929,37.8,1,1,1
144,-122.21,233100,535,38,2254,3,487,951,30.812,37.8,1,1,1
145,-122.21,296400,212,52,1389,3,224,510,52.402,37.81,1,1,1
146,-122.22,273700,335,52,1971,3,308,765,65.217,37.81,1,1,1
147,-122.22,227700,465,52,2183,3,460,1129,32.632,37.8,1,1,1
148,-122.22,199600,464,52,2286,3,441,1073,30.298,37.8,1,1,1
149,-122.22,239800,541,52,2721,3,515,1185,45.428,37.8,1,1,1
150,-122.22,270100,339,52,2024,3,340,756,4.072,37.81,1,1,1
151,-122.22,302100,536,52,2944,3,521,1034,53.509,37.81,1,1,1
152,-122.23,269500,486,52,2033,3,459,787,31.603,37.8,1,1,1
153,-122.23,314700,229,52,1433,3,213,612,47.708,37.81,1,1,1
154,-122.22,390100,402,52,2927,3,380,1021,81.564,37.81,1,3,1
155,-122.23,410300,292,52,2315,3,258,861,88.793,37.81,1,3,1
156,-122.24,352400,313,52,2485,3,327,953,68.591,37.81,1,3,1
157,-122.24,287300,238,52,1490,3,256,634,60.302,37.81,1,1,1
158,-122.23,348700,365,52,2814,3,352,878,7.508,37.81,1,1,1
159,-122.24,243800,550,52,2093,3,483,918,27.477,37.81,1,1,1
160,-122.24,211500,168,52,888,3,175,360,21.944,37.8,1,1,1
161,-122.25,218400,510,52,2087,3,488,1197,30.149,37.8,1,1,1
162,-122.24,269900,502,52,2513,3,518,1048,3.675,37.81,1,1,1
163,-122.25,218800,835,46,3232,3,747,1373,3.225,37.81,1,1,1
164,-122.25,225000,1065,42,4120,3,1015,1715,29.345,37.8,1,1,1
165,-122.25,250000,792,43,2364,3,722,1359,21.429,37.8,1,1,1
166,-122.25,171400,469,41,1471,3,413,1062,16.121,37.8,1,1,1
167,-122.25,193800,864,29,2468,3,773,1335,13.929,37.8,1,1,1
168,-122.24,125000,492,27,1632,3,429,1171,23.173,37.79,1,1,1
169,-122.25,97500,526,45,1786,3,460,1475,17.772,37.79,1,1,1
170,-122.25,125000,188,50,629,3,196,742,26.458,37.79,1,1,1
171,-122.25,138800,391,52,1339,3,363,1086,2.181,37.79,1,1,1
172,-122.25,116700,606,36,1678,3,543,1645,22.303,37.8,1,1,1
173,-122.25,151800,647,43,2344,3,644,1710,16.504,37.8,1,1,1
174,-122.24,127000,228,52,996,3,228,731,22.697,37.8,1,1,1
175,-122.24,128600,373,52,1591,3,347,1118,21.563,37.8,1,1,1
176,-122.24,140600,398,52,1586,3,335,1006,21.348,37.8,1,1,1
177,-122.24,182700,588,47,2046,3,554,1213,26.292,37.8,1,1,1
178,-122.23,146900,289,52,1192,3,257,772,23.833,37.8,1,1,1
179,-122.24,122800,420,52,1803,3,401,1321,2.957,37.8,1,1,1
180,-122.24,169300,749,49,2838,3,677,1487,25.238,37.8,1,1,1
181,-122.23,126600,184,52,783,3,186,488,19.375,37.8,1,1,1
182,-122.23,127900,414,51,1590,3,392,949,19.028,37.8,1,1,1
183,-122.23,123500,480,50,1746,3,415,1149,2.25,37.8,1,1,1
184,-122.23,111900,299,52,1252,3,280,844,23.929,37.8,1,1,1
185,-122.23,112800,1344,43,5963,3,1231,4367,21.917,37.79,0,2,2
186,-122.23,107900,395,52,1783,3,412,1659,29.357,37.79,1,1,1
187,-122.23,137500,264,30,999,3,263,1011,18.854,37.79,1,1,1
188,-122.24,105500,431,39,1469,3,389,1464,21.638,37.79,1,1,1
189,-122.24,95500,395,47,1372,3,303,1237,2.125,37.79,1,1,1
190,-122.24,116100,180,52,674,3,168,647,3.375,37.79,1,1,1
191,-122.24,112200,376,43,1626,3,357,1284,22.542,37.79,1,1,1
192,-122.25,75000,43,51,175,3,55,228,2.1,37.79,1,1,1
193,-122.25,112500,129,39,461,3,123,381,1.6,37.79,1,1,1
194,-122.25,125000,237,52,902,3,227,846,3.625,37.79,1,1,1
195,-122.26,115000,779,20,2373,3,676,1659,16.929,37.8,1,1,1
196,-122.22,95000,128,52,391,3,138,520,16.471,37.77,1,1,1
197,-122.22,96400,301,52,1137,3,259,866,2.59,37.77,1,1,1
198,-122.23,72000,206,52,769,3,183,612,2.57,37.77,1,1,1
199,-122.23,71300,146,52,472,3,126,415,26.429,37.78,1,1,1
200,-122.23,80800,215,52,862,3,213,994,30.257,37.78,1,1,1
201,-122.22,128800,530,50,1920,3,477,1525,14.886,37.78,1,1,1
202,-122.23,112500,472,43,1420,3,438,1506,19.338,37.78,1,1,1
203,-122.23,119400,258,52,986,3,255,1008,14.844,37.78,1,1,1
204,-122.23,118100,825,44,2340,3,751,2813,16.009,37.78,1,1,1
205,-122.23,122500,396,48,1696,3,343,1481,20.375,37.79,1,1,1
206,-122.23,106300,217,49,1175,3,219,859,2.293,37.79,1,1,1
207,-122.22,132500,574,37,2343,3,523,1608,21.494,37.79,1,1,1
208,-122.23,122700,145,30,610,3,140,425,16.198,37.79,1,1,1
209,-122.23,113300,199,40,930,3,184,564,13.281,37.79,1,1,1
210,-122.22,109500,314,44,1487,3,272,961,35.156,37.79,1,1,1
211,-122.22,164700,690,52,3424,3,685,2273,39.048,37.79,1,1,1
212,-122.21,125000,190,52,762,3,195,600,30.893,37.79,1,1,1
213,-122.22,124700,575,46,2366,3,527,1647,26.042,37.79,1,1,1
214,-122.22,136700,450,49,1826,3,424,1201,2.5,37.79,1,1,1
215,-122.22,141700,711,38,3049,3,659,2167,27.969,37.79,1,1,1
216,-122.2,150000,376,29,1640,3,340,939,28.321,37.79,1,1,1
217,-122.21,138800,307,47,1543,3,292,859,29.583,37.79,1,1,1
218,-122.21,139200,557,34,2364,3,516,1517,28.365,37.79,1,1,1
219,-122.21,143800,409,35,1745,3,386,1143,2.875,37.79,1,1,1
220,-122.21,156500,500,39,2003,3,464,1109,30.682,37.8,1,1,1
221,-122.21,151000,447,39,2018,3,446,1221,30.757,37.8,1,1,1
222,-122.2,273000,499,43,3045,3,455,1115,49.559,37.8,1,1,1
223,-122.2,217100,293,52,1547,3,268,706,47.721,37.8,1,1,1
224,-122.21,187100,711,52,3519,3,706,1883,34.861,37.8,1,1,1
225,-122.2,239600,354,41,2070,3,340,804,51.184,37.8,1,1,1
226,-122.21,229700,263,48,1321,3,252,506,40.977,37.8,1,1,1
227,-122.19,257300,259,48,1694,3,238,610,4.744,37.8,1,1,1
228,-122.19,246900,341,46,1938,3,332,768,42.727,37.8,1,1,1
229,-122.19,179900,195,50,968,3,184,462,29.844,37.79,1,1,1
230,-122.2,169600,256,40,1060,3,235,667,41.739,37.79,1,1,1
231,-122.2,203300,405,46,2041,3,399,1059,38.487,37.8,1,1,1
232,-122.19,263400,271,52,1813,3,277,637,40.114,37.8,1,1,1
233,-122.19,231800,451,45,2718,3,454,1106,46.563,37.79,1,1,1
234,-122.19,140500,761,28,3144,3,669,1737,29.297,37.79,1,1,1
235,-122.2,126000,459,35,1802,3,390,1009,23.036,37.79,1,1,1
236,-122.2,122000,195,49,882,3,210,737,26.667,37.79,1,1,1
237,-122.2,134700,452,44,1621,3,491,1354,2.619,37.79,1,1,1
238,-122.21,139400,533,45,2115,3,474,1530,24.167,37.79,1,1,1
239,-122.2,115400,528,45,2021,3,480,1410,27.788,37.79,1,1,1
240,-122.21,137300,508,46,2239,3,569,1390,27.352,37.78,1,1,1
241,-122.21,137000,300,52,1477,3,269,1065,18.472,37.78,1,1,1
242,-122.21,142600,224,52,1056,3,245,792,26.583,37.78,1,1,1
243,-122.21,137500,244,49,898,3,245,779,30.536,37.78,1,1,1
244,-122.22,111700,710,44,2968,3,610,2269,23.906,37.78,1,1,1
245,-122.21,126800,460,43,1702,3,407,1227,17.188,37.78,1,1,1
246,-122.21,111300,248,47,881,3,241,753,2.625,37.78,1,1,1
247,-122.22,114800,114,40,494,3,135,547,28.015,37.77,1,1,1
248,-122.22,102300,473,50,1776,3,440,1807,17.276,37.78,1,1,1
249,-122.22,131900,514,44,1678,3,495,1700,20.801,37.78,1,1,1
250,-122.22,119100,463,51,1637,3,393,1543,2.489,37.78,1,1,1
251,-122.21,80600,314,52,1420,3,300,1085,17.546,37.76,1,1,1
252,-122.21,80600,173,52,591,3,137,353,40.904,37.77,1,1,1
253,-122.21,88800,153,52,745,3,149,473,26.765,37.77,1,1,1
254,-122.2,102400,498,49,2272,3,483,1621,24.338,37.77,1,1,1
255,-122.21,98700,375,46,1234,3,354,1183,23.309,37.77,1,1,1
256,-122.21,1e+05,328,43,1017,3,277,836,22.604,37.77,1,1,1
257,-122.19,92300,254,42,932,3,263,900,18.039,37.77,1,1,1
258,-122.2,94800,597,39,2689,3,537,1888,22.562,37.77,1,1,1
259,-122.2,102000,415,41,1547,3,341,1024,20.562,37.77,1,1,1
260,-122.2,158400,443,52,2300,3,423,1225,35.398,37.78,1,1,1
261,-122.2,121600,399,39,1752,3,376,1071,31.167,37.78,1,1,1
262,-122.2,129100,403,50,1867,3,378,1128,25.401,37.78,1,1,1
263,-122.2,121400,502,43,2430,3,484,1537,2.898,37.77,1,1,1
264,-122.21,102800,414,44,1729,3,393,1240,23.125,37.78,1,1,1
265,-122.19,160000,180,52,1026,3,168,469,2.875,37.78,1,1,1
266,-122.19,143900,428,52,2170,3,425,1086,33.715,37.77,1,1,1
267,-122.19,151200,445,52,2329,3,417,1144,35.114,37.77,1,1,1
268,-122.19,164400,415,52,2492,3,375,1109,43.125,37.78,1,1,1
269,-122.19,156500,397,52,2198,3,369,984,3.22,37.78,1,1,1
270,-122.18,225000,31,33,142,3,47,575,3.875,37.78,1,1,1
271,-122.19,174200,205,49,1183,3,209,496,52.328,37.78,1,1,1
272,-122.19,166900,193,52,1070,3,190,555,37.262,37.78,1,1,1
273,-122.2,163500,332,45,1766,3,327,869,45.893,37.78,1,1,1
274,-122.18,253000,95,39,617,3,106,236,52.578,37.79,1,1,1
275,-122.18,240700,233,41,1411,3,214,626,70.875,37.79,1,1,1
276,-122.18,208100,387,46,2109,3,329,922,39.712,37.79,1,1,1
277,-122.19,198100,243,47,1229,3,256,582,29.514,37.79,1,1,1
278,-122.19,172800,217,50,954,3,201,546,26.667,37.79,1,1,1
279,-122.18,336700,262,37,1643,3,266,620,54.446,37.81,1,1,1
280,-122.18,318200,195,34,1355,3,195,442,62.838,37.8,1,1,1
281,-122.18,285800,336,23,2317,3,328,955,67.527,37.8,1,1,1
282,-122.13,293000,317,24,2459,3,324,916,70.712,37.77,1,3,1
283,-122.16,371000,2048,22,12842,3,1967,4985,59.849,37.79,0,4,3
284,-122.17,157300,260,42,1524,3,267,651,36.875,37.78,1,1,1
285,-122.17,135300,746,30,3326,3,703,1704,2.875,37.77,1,1,1
286,-122.18,136700,440,43,1985,3,407,1085,34.205,37.78,1,1,1
287,-122.18,160700,322,50,1642,3,284,713,32.984,37.78,1,1,1
288,-122.17,140600,177,49,893,3,181,468,3.875,37.78,1,1,1
289,-122.17,144000,128,52,653,3,121,296,4.175,37.78,1,1,1
290,-122.16,161900,538,47,1256,3,218,570,4.375,37.77,1,1,1
291,-122.16,156300,194,48,977,3,180,446,47.708,37.77,1,1,1
292,-122.16,176000,397,45,2324,3,384,968,35.739,37.77,1,1,1
293,-122.16,145800,349,39,1583,3,316,857,30.958,37.77,1,1,1
294,-122.17,141900,342,39,1612,3,322,912,33.958,37.77,1,1,1
295,-122.17,90700,533,31,2424,3,452,1360,1.871,37.77,1,1,1
296,-122.17,90600,367,41,1594,3,355,1074,19.356,37.76,1,1,1
297,-122.17,107900,413,47,2118,3,382,965,21.842,37.76,1,1,1
298,-122.18,107000,358,37,1575,3,320,933,22.917,37.76,1,1,1
299,-122.17,98200,397,38,1764,3,354,987,24.333,37.76,1,1,1
300,-122.18,89500,261,50,1187,3,246,907,19.479,37.76,1,1,1
301,-122.18,93800,175,52,754,3,165,447,39.063,37.76,1,1,1
302,-122.18,96700,452,49,2308,3,451,1299,18.407,37.76,1,1,1
303,-122.18,97500,236,27,909,3,157,396,20.786,37.77,1,1,1
304,-122.18,97300,257,42,1180,3,268,877,28.125,37.77,1,1,1
305,-122.18,91200,408,43,2018,3,367,1111,18.913,37.76,1,1,1
306,-122.19,91400,282,49,1368,3,269,790,17.056,37.76,1,1,1
307,-122.18,96200,547,52,2744,3,554,1479,22.768,37.77,1,1,1
308,-122.18,120100,471,51,2107,3,438,1173,32.552,37.77,1,1,1
309,-122.18,1e+05,362,52,1748,3,366,1029,20.556,37.77,1,1,1
310,-122.19,94700,391,52,2024,3,350,1030,24.659,37.76,1,1,1
311,-122.2,85700,259,47,1116,3,279,826,1.75,37.76,1,1,1
312,-122.19,89300,510,41,2036,3,454,1412,20.469,37.77,1,1,1
313,-122.19,101400,393,45,1852,3,349,1132,27.159,37.77,1,1,1
314,-122.19,72500,207,41,921,3,159,522,12.083,37.76,1,1,1
315,-122.19,74100,238,45,995,3,237,630,1.925,37.76,1,1,1
316,-122.2,70000,132,36,606,3,133,531,15.809,37.75,1,1,1
317,-122.2,84600,736,37,2680,3,667,1925,14.097,37.76,1,1,1
318,-122.19,81800,370,38,1493,3,351,1144,0.7683,37.76,1,1,1
319,-122.19,81400,565,19,2207,3,520,1481,13.194,37.75,1,1,1
320,-122.19,81800,189,28,856,3,162,435,0.8012,37.75,1,1,1
321,-122.19,85800,297,26,1293,3,303,984,19.479,37.76,1,1,1
322,-122.19,87100,212,36,847,3,159,567,11.765,37.74,1,1,1
323,-122.18,83500,154,42,541,3,123,380,23.456,37.74,1,1,1
324,-122.19,79700,253,44,1066,3,244,825,21.538,37.73,1,1,1
325,-122.19,83400,147,43,707,3,155,417,25.139,37.74,1,1,1
326,-122.19,84700,291,45,1528,3,287,801,12.625,37.73,1,1,1
327,-122.18,80000,215,42,909,3,198,646,29.063,37.73,1,1,1
328,-122.18,76400,293,43,1391,3,285,855,25.192,37.73,1,1,1
329,-122.18,79700,119,44,548,3,136,435,21.111,37.73,1,1,1
330,-122.18,82400,874,42,4074,3,780,2736,2.455,37.73,1,1,1
331,-122.17,97700,445,41,1613,3,414,1481,24.028,37.74,1,1,1
332,-122.17,97200,134,47,463,3,137,327,2.15,37.74,1,1,1
333,-122.17,101600,193,43,818,3,179,494,24.776,37.74,1,1,1
334,-122.17,86500,371,43,1473,3,341,1231,21.587,37.73,1,1,1
335,-122.18,90500,126,35,504,3,109,323,18.438,37.74,1,1,1
336,-122.17,107600,226,46,1026,3,225,749,30.298,37.74,1,1,1
337,-122.17,84200,183,46,769,3,178,693,2.25,37.74,1,1,1
338,-122.18,88900,391,46,2103,3,354,1339,22.467,37.74,1,1,1
339,-122.18,80700,76,45,330,3,80,282,40.469,37.75,1,1,1
340,-122.18,87100,218,46,941,3,195,621,1.325,37.75,1,1,1
341,-122.17,85100,538,38,992,3,259,732,16.196,37.75,1,1,1
342,-122.18,82000,261,45,990,3,260,901,21.731,37.75,1,1,1
343,-122.19,82800,263,36,1126,3,150,482,19.167,37.75,1,1,1
344,-122.18,84600,233,43,1036,3,213,652,2.069,37.75,1,1,1
345,-122.18,82100,214,36,1047,3,166,651,1.712,37.75,1,1,1
346,-122.17,89300,307,33,1280,3,286,999,25.625,37.76,1,1,1
347,-122.17,98300,320,43,1587,3,306,907,19.821,37.75,1,1,1
348,-122.17,92300,271,41,1257,3,230,828,25.043,37.75,1,1,1
349,-122.17,88800,248,44,1218,3,254,763,23.281,37.75,1,1,1
350,-122.17,90000,390,48,1751,3,349,935,14.375,37.75,1,1,1
351,-122.16,95500,514,45,2299,3,484,1437,25.122,37.76,1,1,1
352,-122.16,91700,624,38,2457,3,482,1516,15.625,37.75,1,1,1
353,-122.17,100400,211,47,998,3,185,597,31.587,37.75,1,1,1
354,-122.17,94800,343,40,1685,3,342,949,18.426,37.76,1,1,1
355,-122.16,164300,307,46,1827,3,302,881,46.696,37.76,1,1,1
356,-122.16,155500,574,36,2781,3,519,1438,24.598,37.76,1,1,1
357,-122.15,196900,286,39,1823,3,270,763,60.749,37.76,1,1,1
358,-122.14,279100,365,27,2229,3,355,1297,48.304,37.77,1,1,1
359,-122.14,252800,231,34,1513,3,211,545,55.701,37.76,1,1,1
360,-122.13,275400,491,26,3266,3,533,1222,5.37,37.76,1,1,1
361,-122.12,250000,261,33,1809,3,219,808,6.86,37.75,1,1,1
362,-122.12,329800,111,28,794,3,109,329,76.923,37.75,1,3,1
363,-122.14,195500,105,36,690,3,109,299,40.313,37.75,1,1,1
364,-122.14,255900,200,33,1334,3,202,579,68.323,37.75,1,1,1
365,-122.13,311100,54,30,414,3,50,137,4.975,37.75,1,1,1
366,-122.13,330000,93,36,768,3,93,229,53.602,37.75,1,1,1
367,-122.13,248900,666,41,4400,3,648,1476,5,37.74,1,1,1
368,-122.16,142900,161,46,954,3,154,429,2.925,37.75,1,1,1
369,-122.15,126300,256,40,1445,3,255,849,38.913,37.75,1,1,1
370,-122.15,135800,399,44,1938,3,331,946,3.225,37.75,1,1,1
371,-122.15,130600,178,41,856,3,191,571,31.458,37.74,1,1,1
372,-122.16,107900,454,24,1790,3,386,1137,2.537,37.75,1,1,1
